sample_id	fastq_summary_found	total_paired_reads	total_reads	gc_percentage	average_base_quality	q30_percent	read1_avg_base_quality	read2_avg_base_quality	read1_q30_percent	read2_q30_percent
seq061925	True	44619508	89239016	41.0	35.98285	96.325411	36.0796	35.8861	96.664316	95.98650699999999
seq061927	True	44402436	88804872	41.0	35.90895	95.953024	36.0981	35.7198	96.684227	95.22182099999999
seq061928	True	49287131	98574262	41.0	35.9167	95.914062	36.1015	35.7319	96.682436	95.145688
seq061930	True	43532954	87065908	41.0	36.00015	96.36855600000001	36.0769	35.9234	96.579325	96.157787
seq061931	True	40506025	81012050	41.0	35.98075	96.35244499999999	36.0893	35.8722	96.697163	96.007727
seq061933	True	46140872	92281744	41.0	35.97615	96.248412	36.0754	35.8769	96.57876	95.918064
seq061934	True	46904125	93808250	41.0	36.01645	96.312878	36.0851	35.9478	96.53994399999999	96.085813
seq061935	True	39921152	79842304	41.0	36.08175	96.783022	36.1065	36.057	96.788975	96.777069
seq062779	True	30955720	61911440	41.5	35.7562	94.597701	35.8824	35.63	95.228394	93.96700799999999
seq062780	True	45822405	91644810	42.0	35.63245	94.168631	35.9517	35.3132	95.808217	92.529046
seq062781	True	37024404	74048808	42.0	35.839	95.188823	36.0237	35.6543	96.20666999999999	94.17097700000001
