group	sample_id	input_bam	output_bam	total_R1_proper	mapq30_primary	kept_high_quality	percent_kept_of_total_R1_proper	percent_kept_of_mapq30_primary
cancer	seq061893	data/EDTA_WGS_ca/seq061893.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061893.high_quality.R1.bam	29492336	29492336	29463007	99.900554	99.900554
cancer	seq061894	data/EDTA_WGS_ca/seq061894.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061894.high_quality.R1.bam	30871352	30871352	30841272	99.902563	99.902563
cancer	seq061895	data/EDTA_WGS_ca/seq061895.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061895.high_quality.R1.bam	28401119	28401119	28373157	99.901546	99.901546
cancer	seq061896	data/EDTA_WGS_ca/seq061896.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061896.high_quality.R1.bam	35722151	35722151	35687062	99.901772	99.901772
cancer	seq061897	data/EDTA_WGS_ca/seq061897.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061897.high_quality.R1.bam	30070387	30070387	30040411	99.900314	99.900314
cancer	seq061898	data/EDTA_WGS_ca/seq061898.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061898.high_quality.R1.bam	33453402	33453402	33420380	99.901290	99.901290
cancer	seq061899	data/EDTA_WGS_ca/seq061899.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061899.high_quality.R1.bam	34181904	34181904	34148815	99.903197	99.903197
cancer	seq061900	data/EDTA_WGS_ca/seq061900.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061900.high_quality.R1.bam	34225189	34225189	34191301	99.900985	99.900985
cancer	seq061901	data/EDTA_WGS_ca/seq061901.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061901.high_quality.R1.bam	29934885	29934885	29904733	99.899275	99.899275
cancer	seq061902	data/EDTA_WGS_ca/seq061902.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061902.high_quality.R1.bam	30877948	30877948	30847247	99.900573	99.900573
cancer	seq061903	data/EDTA_WGS_ca/seq061903.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061903.high_quality.R1.bam	32093645	32093645	32061453	99.899694	99.899694
cancer	seq061904	data/EDTA_WGS_ca/seq061904.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061904.high_quality.R1.bam	33620437	33620437	33574629	99.863750	99.863750
cancer	seq061905	data/EDTA_WGS_ca/seq061905.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061905.high_quality.R1.bam	25944245	25944245	25918647	99.901335	99.901335
cancer	seq061907	data/EDTA_WGS_ca/seq061907.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061907.high_quality.R1.bam	37043032	37043032	37006201	99.900572	99.900572
cancer	seq061908	data/EDTA_WGS_ca/seq061908.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061908.high_quality.R1.bam	34002569	34002569	33968797	99.900678	99.900678
cancer	seq061909	data/EDTA_WGS_ca/seq061909.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061909.high_quality.R1.bam	28438360	28438360	28409858	99.899776	99.899776
cancer	seq061910	data/EDTA_WGS_ca/seq061910.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061910.high_quality.R1.bam	31328741	31328741	31287258	99.867588	99.867588
cancer	seq061911	data/EDTA_WGS_ca/seq061911.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061911.high_quality.R1.bam	28755934	28755934	28727363	99.900643	99.900643
cancer	seq061912	data/EDTA_WGS_ca/seq061912.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061912.high_quality.R1.bam	34867108	34867108	34832530	99.900829	99.900829
cancer	seq061913	data/EDTA_WGS_ca/seq061913.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061913.high_quality.R1.bam	33042180	33042180	33009308	99.900515	99.900515
cancer	seq061915	data/EDTA_WGS_ca/seq061915.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061915.high_quality.R1.bam	34421735	34421735	34387213	99.899709	99.899709
cancer	seq061916	data/EDTA_WGS_ca/seq061916.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061916.high_quality.R1.bam	22502427	22502427	22422083	99.642954	99.642954
cancer	seq061917	data/EDTA_WGS_ca/seq061917.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061917.high_quality.R1.bam	35382671	35382671	35347230	99.899835	99.899835
cancer	seq061918	data/EDTA_WGS_ca/seq061918.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061918.high_quality.R1.bam	37581291	37581291	37544485	99.902063	99.902063
cancer	seq061919	data/EDTA_WGS_ca/seq061919.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061919.high_quality.R1.bam	31245945	31245945	31215753	99.903373	99.903373
cancer	seq061920	data/EDTA_WGS_ca/seq061920.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061920.high_quality.R1.bam	35562260	35562260	35486586	99.787207	99.787207
cancer	seq061921	data/EDTA_WGS_ca/seq061921.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061921.high_quality.R1.bam	29985742	29985742	29955796	99.900133	99.900133
cancer	seq061923	data/EDTA_WGS_ca/seq061923.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061923.high_quality.R1.bam	33747186	33747186	33714176	99.902184	99.902184
cancer	seq061924	data/EDTA_WGS_ca/seq061924.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061924.high_quality.R1.bam	31308968	31308968	31268531	99.870845	99.870845
cancer	seq061925	data/EDTA_WGS_ca/seq061925.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061925.high_quality.R1.bam	30449715	30449715	30419886	99.902038	99.902038
cancer	seq061927	data/EDTA_WGS_ca/seq061927.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061927.high_quality.R1.bam	30916267	30916267	30886041	99.902233	99.902233
cancer	seq061928	data/EDTA_WGS_ca/seq061928.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061928.high_quality.R1.bam	35046532	35046532	35011948	99.901320	99.901320
cancer	seq061930	data/EDTA_WGS_ca/seq061930.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061930.high_quality.R1.bam	30987576	30987576	30956907	99.901028	99.901028
cancer	seq061931	data/EDTA_WGS_ca/seq061931.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061931.high_quality.R1.bam	28289864	28289864	28263555	99.907002	99.907002
cancer	seq061933	data/EDTA_WGS_ca/seq061933.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061933.high_quality.R1.bam	33632703	33632703	33394011	99.290298	99.290298
cancer	seq061934	data/EDTA_WGS_ca/seq061934.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061934.high_quality.R1.bam	33624143	33624143	33590920	99.901193	99.901193
cancer	seq061935	data/EDTA_WGS_ca/seq061935.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061935.high_quality.R1.bam	29220849	29220849	29191670	99.900143	99.900143
cancer	seq062779	data/EDTA_WGS_ca/seq062779.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq062779.high_quality.R1.bam	22813349	22813349	22704111	99.521166	99.521166
cancer	seq062780	data/EDTA_WGS_ca/seq062780.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq062780.high_quality.R1.bam	33329945	33329945	33218088	99.664395	99.664395
cancer	seq062781	data/EDTA_WGS_ca/seq062781.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq062781.high_quality.R1.bam	27542111	27542111	27409746	99.519409	99.519409
healthy	seq003213	data/EDTA_WGS_hc/seq003213.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq003213.high_quality.R1.bam	19304747	19304747	19293084	99.939585	99.939585
healthy	seq003237	data/EDTA_WGS_hc/seq003237.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq003237.high_quality.R1.bam	18093167	18093167	18082243	99.939624	99.939624
healthy	seq003331	data/EDTA_WGS_hc/seq003331.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq003331.high_quality.R1.bam	17176664	17176664	17167365	99.945863	99.945863
healthy	seq046366	data/EDTA_WGS_hc/seq046366.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046366.high_quality.R1.bam	23813251	23813251	23773257	99.832051	99.832051
healthy	seq046368	data/EDTA_WGS_hc/seq046368.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046368.high_quality.R1.bam	25264006	25264006	25252669	99.955126	99.955126
healthy	seq046369	data/EDTA_WGS_hc/seq046369.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046369.high_quality.R1.bam	34222433	34222433	34206951	99.954761	99.954761
healthy	seq046417	data/EDTA_WGS_hc/seq046417.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046417.high_quality.R1.bam	35681682	35681682	35665905	99.955784	99.955784
healthy	seq046449	data/EDTA_WGS_hc/seq046449.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046449.high_quality.R1.bam	25439193	25439193	25428491	99.957931	99.957931
healthy	seq046566	data/EDTA_WGS_hc/seq046566.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046566.high_quality.R1.bam	24796789	24796789	24759058	99.847839	99.847839
healthy	seq046606	data/EDTA_WGS_hc/seq046606.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046606.high_quality.R1.bam	25222709	25222709	25201370	99.915398	99.915398
healthy	seq046614	data/EDTA_WGS_hc/seq046614.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046614.high_quality.R1.bam	34415668	34415668	34385894	99.913487	99.913487
healthy	seq046618	data/EDTA_WGS_hc/seq046618.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046618.high_quality.R1.bam	33008048	33008048	32980240	99.915754	99.915754
healthy	seq046623	data/EDTA_WGS_hc/seq046623.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046623.high_quality.R1.bam	30102203	30102203	30076372	99.914189	99.914189
healthy	seq046639	data/EDTA_WGS_hc/seq046639.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046639.high_quality.R1.bam	33621334	33621334	33346138	99.181484	99.181484
healthy	seq046641	data/EDTA_WGS_hc/seq046641.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046641.high_quality.R1.bam	35649056	35649056	35595004	99.848377	99.848377
healthy	seq046749	data/EDTA_WGS_hc/seq046749.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046749.high_quality.R1.bam	21621031	21621031	21581284	99.816165	99.816165
healthy	seq046750	data/EDTA_WGS_hc/seq046750.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046750.high_quality.R1.bam	24663147	24663147	24619194	99.821787	99.821787
healthy	seq046758	data/EDTA_WGS_hc/seq046758.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046758.high_quality.R1.bam	30879999	30879999	30823947	99.818484	99.818484
