sample_id	total_r1_proper	mapq30	len_50_600	len_lt50	len_gt600	duplicates	percent_mapq30	percent_len_50_600_of_mapq30	group	percent_lt50_of_mapq30	percent_gt600_of_mapq30	percent_duplicates_of_total
seq052454	25549632	25549632	25537480	12152	0	0	100	99.9524	healthy	0.04756232888207548	0.0	0.0
seq052460	27981456	27981456	27981456	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052636	22814354	22814354	22814354	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052637	26895810	26895810	26895459	351	0	0	100	99.9987	healthy	0.0013050359888770778	0.0	0.0
seq052638	24550490	24550490	24550490	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052640	25707091	25707091	25707091	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052641	21789129	21789129	21755531	33598	0	0	100	99.8458	healthy	0.1541961590112207	0.0	0.0
seq052643	26130915	26130915	26130915	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052644	24151131	24151131	24151131	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052648	24761130	24761130	24761130	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052650	27437733	27437733	27437733	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052651	29380632	29380632	29380632	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052652	25112226	25112226	25112226	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052915	16155303	16155303	16155303	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052916	34069850	34069850	34069850	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052925	23011226	23011226	23011226	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052926	20294408	20294408	20294408	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052928	28972444	28972444	28972444	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052929	23815278	23815278	23815278	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052930	19660141	19660141	19660141	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052931	22870276	22870276	22870276	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052932	28789465	28789465	28789465	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052934	25885441	25885441	25885441	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052936	24662707	24662707	24662707	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq052940	25504474	25504474	25432126	72348	0	0	100	99.7163	healthy	0.283667877251654	0.0	0.0
seq054028	29032467	29032467	29032467	0	0	0	100	100.0	healthy	0.0	0.0	0.0
seq061844	35287982	35287982	35287982	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061846	33493011	33493011	33493011	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061849	29860986	29860986	29860986	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061850	34044906	34044906	34044906	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061851	33712732	33712732	33712732	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061852	28825199	28825199	28820996	4203	0	0	100	99.9854	cancer	0.014580992138163556	0.0	0.0
seq061853	31153644	31153644	31153644	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061854	30751487	30751487	30751487	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061855	33587373	33587373	33587373	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061856	30026832	30026832	30026832	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061857	32634780	32634780	32634780	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061858	32189476	32189476	32117296	72180	0	0	100	99.7758	cancer	0.22423477785099702	0.0	0.0
seq061859	36636861	36636861	36636861	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061860	34267404	34267404	34267404	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061862	32090802	32090802	32090802	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061863	28252501	28252501	28219700	32801	0	0	100	99.8839	cancer	0.11609945611540727	0.0	0.0
seq061864	33549123	33549123	33549123	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061865	32709394	32709394	32709394	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061867	35481698	35481698	35481698	0	0	0	100	100.0	cancer	0.0	0.0	0.0
