sample_id	insert_metrics_found	median_insert_size	mode_insert_size	median_absolute_deviation	min_insert_size	max_insert_size	mean_insert_size	standard_deviation	read_pairs	pair_orientation	width_of_10_percent	width_of_20_percent	width_of_30_percent	width_of_40_percent	width_of_50_percent	width_of_60_percent	width_of_70_percent	width_of_80_percent	width_of_90_percent	width_of_95_percent	width_of_99_percent
seq061915	True	167	166	10	85	254	166.28977	20.419764	34605488	FR	5	7	11	17	21	27	37	47	67	91	137
seq061916	True	185	169	20	2	734	207.775661	67.84026300000001	22616476	FR	9	17	23	33	41	53	79	233	345	391	641
seq061917	True	164	166	11	73	256	161.757224	22.889463	35565813	FR	5	9	13	17	23	31	39	53	77	105	153
seq061918	True	166	166	11	74	264	164.792264	22.825751999999998	37785961	FR	5	9	13	17	23	31	41	53	75	101	155
seq061919	True	171	167	12	56	302	170.76200500000002	27.547172999999997	31422001	FR	5	9	13	19	25	33	43	59	87	127	203
seq061920	True	163	166	16	20	315	166.103143	40.653677	35758780	FR	7	11	19	25	33	43	57	77	137	215	271
seq061921	True	172	167	11	70	288	172.926526	23.367939	30149509	FR	5	9	13	19	23	31	41	53	73	101	169
seq061923	True	171	167	12	58	303	171.147974	27.540616999999997	33925425	FR	5	9	13	19	25	33	43	57	89	129	199
seq061924	True	173	167	12	33	341	174.260773	28.22304	31477191	FR	5	9	15	19	25	33	45	61	97	161	269
seq061925	True	170	167	12	48	314	171.43303600000002	25.842728	30608812	FR	5	9	13	19	25	33	41	55	81	115	211
seq061927	True	171	168	11	64	295	172.60288799999998	23.445794	31081089	FR	5	9	13	19	23	31	41	53	75	101	177
seq061928	True	169	166	10	82	265	168.735421	20.881923	35225724	FR	5	7	11	17	21	27	37	49	67	91	145
seq061930	True	167	166	12	66	277	165.789674	24.507248999999998	31158688	FR	5	9	13	19	25	33	43	55	79	109	173
seq061931	True	170	167	11	71	281	169.387953	23.016976	28447539	FR	5	9	13	17	23	29	39	51	73	101	163
seq061933	True	165	166	16	32	298	159.461514	38.322602	33841820	FR	5	11	17	25	33	43	57	85	145	189	237
seq061934	True	168	166	10	87	255	167.974343	19.528487	33785295	FR	5	7	11	15	21	27	35	45	65	85	131
seq061935	True	167	166	9	90	251	167.478184	18.004828	29378623	FR	3	7	11	15	19	25	33	43	59	75	119
seq062779	True	163	166	19	9	319	165.67126100000002	49.1175	22928536	FR	7	13	21	29	39	51	73	113	185	243	293
seq062780	True	167	167	15	43	296	163.449159	34.439821	33483854	FR	5	11	17	23	31	41	53	73	119	169	229
seq062781	True	160	166	16	33	285	156.87590500000002	35.792761	27704874	FR	7	13	19	25	33	43	55	79	129	173	227
