0 12
10 27
20 4
30 5
40 6
50 9
60 3370
70 301048
80 343019
90 352077
100 385797
110 518013
120 826460
130 1613587
140 2878697
150 4429772
160 8489764
170 7254745
180 3798947
190 1905958
200 989682
210 508769
220 261581
230 143285
240 95182
250 75829
260 40092
270 2
280 3
290 3
300 4
310 4
320 2
330 3
350 1
370 2
380 4
390 3
400 2
420 5
430 3
440 1
450 6
460 8
470 20
480 25
490 17
500 17
510 9
520 6
530 9
540 3
560 1
570 2
580 1
600 1
610 4
630 1
640 1
660 1
690 1
700 1
710 2
730 1
740 1
750 2
770 2
860 2
