0 6
10 20
20 2
30 5
40 6
50 9
60 9
70 118879
80 238765
90 304482
100 381978
110 491057
120 733304
130 1489822
140 2881961
150 4192502
160 7617163
170 6169063
180 2948753
190 1376712
200 697622
210 356001
220 181901
230 101791
240 69944
250 52062
260 1931
270 3
280 1
290 2
300 2
310 7
320 4
330 2
340 3
350 5
360 1
370 1
380 2
400 1
410 4
420 4
430 2
440 5
450 8
460 5
470 7
480 10
490 12
500 15
510 9
520 6
530 5
540 3
550 2
560 2
570 1
590 2
600 4
610 2
620 1
630 1
640 1
650 1
660 1
710 1
760 3
870 1
880 1
930 1
970 1
