0 29
10 83
20 1
30 7
40 7
50 7
60 158553
70 446000
80 412283
90 397895
100 418126
110 525314
120 810025
130 1584865
140 2989429
150 4447013
160 8201218
170 7034835
180 3760178
190 1894412
200 990805
210 505157
220 258493
230 139886
240 90896
250 72106
260 54114
270 4
280 4
290 4
300 4
310 4
320 4
330 3
340 2
350 2
360 2
370 1
380 1
390 1
400 1
410 2
430 2
440 5
450 8
460 12
470 14
480 23
490 14
500 10
510 8
520 6
530 2
540 1
550 1
560 4
570 1
600 1
610 2
620 1
640 1
660 2
670 2
690 1
710 1
720 3
730 2
740 1
750 1
760 1
770 1
790 1
800 2
870 1
910 1
930 2
940 1
960 1
980 2
