0 16
10 27
20 2
30 3
40 6
50 7
60 11
70 66513
80 262289
90 334913
100 416064
110 530203
120 794272
130 1626394
140 3154982
150 4698478
160 8910206
170 7699228
180 3958400
190 1875607
200 929160
210 459011
220 227137
230 121250
240 78777
250 62715
260 133
270 3
280 3
290 3
300 2
320 4
330 1
340 4
350 1
370 1
380 1
390 3
400 4
410 1
420 3
430 2
440 5
450 7
460 7
470 7
480 16
490 28
500 6
510 8
520 4
530 2
540 4
550 1
560 1
570 1
580 1
590 1
620 1
640 1
750 1
770 2
780 1
790 2
800 3
810 2
820 2
840 1
850 1
870 2
930 1
950 3
980 1
