0 13
10 31
20 8
30 6
40 11
50 5
60 4
70 33657
80 202241
90 272369
100 351558
110 457877
120 700100
130 1515861
140 3178831
150 4933073
160 9256814
170 8349198
180 4454202
190 2180698
200 1088899
210 544103
220 273285
230 148173
240 97116
250 79550
260 23667
270 2
280 2
290 3
300 3
310 2
320 3
330 6
340 1
350 2
370 2
390 2
400 2
410 3
420 2
430 6
440 2
450 5
460 10
470 16
480 14
490 26
500 30
510 11
520 9
530 1
540 2
550 2
570 1
580 1
590 1
620 3
630 1
640 1
660 1
700 2
730 1
760 1
770 1
780 2
790 1
800 2
830 2
880 1
940 2
950 1
