0 4
10 29
20 2
30 8
40 6
50 9
60 25178
70 321300
80 406536
90 443622
100 515278
110 661959
120 1000898
130 2072978
140 3938905
150 5547583
160 9543736
170 6999330
180 3146948
190 1441493
200 729060
210 362043
220 183053
230 102860
240 71147
250 39953
260 5
270 1
280 1
290 6
300 4
310 3
320 5
330 2
340 2
350 2
360 1
370 1
380 1
390 2
400 1
410 1
420 2
430 2
440 5
450 5
460 6
470 12
480 25
490 27
500 16
510 9
520 3
530 1
540 1
550 3
560 1
570 2
590 2
630 3
640 2
650 1
710 1
750 1
790 1
830 2
970 1
980 2
990 2
