0 13
10 15
20 5
30 3
40 5
50 8
60 7
70 172417
80 345469
90 373776
100 422725
110 545731
120 895315
130 1894498
140 3516699
150 5210317
160 9809433
170 8021505
180 3926390
190 1834344
200 900577
210 450784
220 229775
230 125550
240 83750
250 52660
260 159
270 4
280 1
290 4
300 3
310 1
320 2
330 1
340 2
350 2
360 3
370 2
380 2
390 3
400 1
410 1
420 2
430 7
440 5
450 8
460 12
470 26
480 12
490 13
500 18
510 8
520 5
530 4
570 1
580 2
600 1
610 1
630 5
640 1
660 1
680 2
710 1
730 1
800 1
820 1
970 1
