taskstatus
WGS_size_pipeline_testhealthy_done_cancer_running
WGS_size_group_comparisonnot_done
hmC_size_pipeline_testnot_done
hmC_size_group_comparisonnot_done
WGS_end_motifsnot_done
hmC_end_motifsnot_done
