0 63933
10 192313
20 419739
30 3278676
40 14084806
50 32634947
60 50915155
70 62500158
80 71157243
90 84450067
100 94759111
110 117260297
120 171759514
130 307566932
140 473120627
150 601370874
160 994905805
170 742394272
180 345976604
190 167480502
200 90891301
210 52081126
220 32421551
230 23455711
240 19773812
250 18792539
260 17640887
270 16655738
280 14658317
290 12637973
300 11207976
310 8629021
320 4784947
330 2174618
340 1004367
350 591217
360 272430
370 148211
380 100868
390 75740
400 54111
410 4165
420 539
430 670
440 765
450 993
460 1345
470 1805
480 2152
490 2040
500 1368
510 857
520 575
530 359
540 296
550 252
560 214
570 228
580 213
590 214
600 212
610 193
620 206
630 179
640 169
650 153
660 104
670 115
680 99
690 93
700 105
710 87
720 112
730 120
740 103
750 113
760 80
770 94
780 97
790 74
800 79
810 73
820 63
830 61
840 66
850 66
860 68
870 49
880 66
890 47
900 71
910 73
920 59
930 75
940 71
950 83
960 73
970 84
980 72
990 59
