0 13317
10 68274
20 102827
30 847799
40 3482776
50 8818596
60 21936369
70 44284938
80 58753163
90 72663019
100 87231877
110 113817324
120 177775428
130 366136670
140 701879444
150 1027980972
160 1902560276
170 1611859470
180 842108537
190 425390313
200 224409204
210 117064823
220 61245853
230 34412218
240 23213195
250 18032889
260 13453834
270 9486167
280 6664100
290 5047792
300 5223925
310 5481411
320 4852947
330 4658256
340 3985528
350 3246967
360 2420212
370 1698409
380 1026312
390 608013
400 330871
410 168562
420 92911
430 54615
440 42470
450 36915
460 35910
470 39253
480 42191
490 42691
500 42986
510 42683
520 39333
530 25034
540 19581
550 15921
560 10252
570 5292
580 3466
590 1443
600 974
610 727
620 487
630 285
640 259
650 249
660 248
670 215
680 222
690 221
700 211
710 233
720 228
730 212
740 241
750 214
760 180
770 192
780 168
790 148
800 143
810 143
820 146
830 162
840 142
850 130
860 125
870 148
880 144
890 127
900 172
910 143
920 158
930 192
940 159
950 161
960 158
970 153
980 129
990 139
